model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,pretrain,type,efficient,dataset,pen
resnetrs50,35691912,25.435111424,5.863636992,0.585980928,5.350928896,0.045233345267,2.374750626515,28.17851996421814,0,0.8029233870967742,2.148349094390869,0.9810216894977168,0.8094758064516129,0.8261088709677419,0.7505040322580645,0.8099798387096774,0.8170362903225806,0.7943548387096774,0.842741935483871,0.8104838709677419,0.8215725806451613,1.0,CNN,0,derma_pt,0.6974393091954068
xception41,26969560,25.435111424,8.873050112,0.44733696,7.867951616,0.055456669541,2.828290146609,34.47510504722595,0,0.8155241935483871,2.542593169212341,0.978167808219178,0.8180443548387096,0.7908266129032258,0.8311491935483871,0.827116935483871,0.8533266129032258,0.8578629032258065,0.8513104838709677,0.8442540322580645,0.8482862903225806,1.0,CNN,0,derma_pt,0.6963376742081494
selecsls60,30670768,25.435111424,2.982150144,0.521860096,2.843708928,0.026988791918,1.403417179751,17.213378429412842,0,0.7464717741935484,1.3588310956954956,0.9520501913545338,0.765625,0.7227822580645161,0.7636088709677419,0.7076612903225806,0.7605846774193549,0.7691532258064516,0.7182459677419355,0.7429435483870968,0.7686491935483871,1.0,CNN,0,derma_pt,0.6948583004384599
sehalonet33ts,13691712,25.435111424,5.637144576,0.243127296,4.795500032,0.03766964302,1.958821437039,23.467390775680546,0,0.7399193548387096,1.8693341732025144,0.9434747385652098,0.7872983870967742,0.7933467741935484,0.7752016129032258,0.7837701612903226,0.7746975806451613,0.7832661290322581,0.7651209677419355,0.813508064516129,0.7908266129032258,1.0,Other,0,derma_pt,0.6887397772315084
pvt_v2_b0,3666760,25.435111424,3.883925504,0.096902144,2.32384512,0.028399477007,1.618770189423,18.3465096950531,0,0.7323588709677419,1.1964677572250366,0.8498720355229835,0.719758064516129,0.7283266129032258,0.7615927419354839,0.7817540322580645,0.7071572580645161,0.7585685483870968,0.7610887096774194,0.7777217741935484,0.7636088709677419,1.0,Other,1,derma_pt,0.6868552876119771
gluon_resnet34_v1b,21797672,25.435111424,2.292187136,0.389481472,1.657467904,0.023217342939,1.230519175777,14.82976746559143,0,0.6643145161290323,1.168877363204956,0.9546186845052188,0.7419354838709677,0.7469758064516129,0.7716733870967742,0.7615927419354839,0.7792338709677419,0.7736895161290323,0.7807459677419355,0.780241935483871,0.748991935483871,1.0,CNN,0,derma_pt,0.6862949855263079
gluon_seresnext50_32x4d,27559896,25.435111424,6.601834496,0.4551296,6.05891584,0.052736868881,2.742317181826,32.76665139198303,0,0.7746975806451613,2.45021653175354,0.9657488214915202,0.7883064516129032,0.8004032258064516,0.8175403225806451,0.813508064516129,0.8316532258064516,0.7857862903225806,0.8276209677419355,0.8084677419354839,0.8261088709677419,1.0,CNN,0,derma_pt,0.6841429053457672
dla60,22036632,25.435111424,5.3477376,0.366935552,4.423618048,0.03859849259,2.065019353578,24.02550435066223,0,0.7389112903225806,1.8817635297775268,0.939778501856817,0.7746975806451613,0.8170362903225806,0.8125,0.8079637096774194,0.7404233870967742,0.6829637096774194,0.7515120967741935,0.7484879032258065,0.7857862903225806,1.0,CNN,0,derma_pt,0.6821787003577513
dla46x_c,1068440,25.435111424,3.001024512,0.038321152,2.267537408,0.018471027823,0.969728960727,11.868346929550173,0,0.6295362903225806,0.8311817407608032,0.8939645012764081,0.6673387096774194,0.688508064516129,0.6769153225806451,0.7777217741935484,0.717741935483871,0.7565524193548387,0.688508064516129,0.7842741935483871,0.7303427419354839,1.0,CNN,0,derma_pt,0.6808580669695254
res2net50_14w_8s,25059816,25.435111424,5.985271808,0.415425024,5.305048576,0.046046582489,2.256282541984,28.84063506126404,0,0.7379032258064516,2.2204340934753417,0.9403492781125248,0.7424395161290323,0.7620967741935484,0.7827620967741935,0.7872983870967742,0.7928427419354839,0.7883064516129032,0.7711693548387096,0.7883064516129032,0.8024193548387096,1.0,CNN,0,derma_pt,0.6793346132355677
